id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
178950,https://dadosabertos.camara.leg.br/api/v2/deputados/178950,ANTÔNIO JÁCOME,PTN,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,RN,55,https://www.camara.leg.br/internet/deputado/bandep/178950.jpg,
178950,https://dadosabertos.camara.leg.br/api/v2/deputados/178950,ANTÔNIO JÁCOME,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,RN,55,https://www.camara.leg.br/internet/deputado/bandep/178950.jpg,
74194,https://dadosabertos.camara.leg.br/api/v2/deputados/74194,ANTONIO JOAQUIM,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,52,https://www.camara.leg.br/internet/deputado/bandep/74194.jpg,
74194,https://dadosabertos.camara.leg.br/api/v2/deputados/74194,ANTONIO JOAQUIM,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,52,https://www.camara.leg.br/internet/deputado/bandep/74194.jpg,
74194,https://dadosabertos.camara.leg.br/api/v2/deputados/74194,ANTONIO JOAQUIM,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,52,https://www.camara.leg.br/internet/deputado/bandep/74194.jpg,
74194,https://dadosabertos.camara.leg.br/api/v2/deputados/74194,ANTONIO JOAQUIM,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,52,https://www.camara.leg.br/internet/deputado/bandep/74194.jpg,
141388,https://dadosabertos.camara.leg.br/api/v2/deputados/141388,ANTONIO JOSÉ MEDEIROS,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PI,53,https://www.camara.leg.br/internet/deputado/bandep/141388.jpg,
73927,https://dadosabertos.camara.leg.br/api/v2/deputados/73927,ANTONIO NOGUEIRA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AP,52,https://www.camara.leg.br/internet/deputado/bandep/73927.jpg,
74701,https://dadosabertos.camara.leg.br/api/v2/deputados/74701,ANTONIO PALOCCI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,53,https://www.camara.leg.br/internet/deputado/bandep/74701.jpg,
141390,https://dadosabertos.camara.leg.br/api/v2/deputados/141390,ANTÔNIO ROBERTO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,53,https://www.camara.leg.br/internet/deputado/bandep/141390.jpg,
141390,https://dadosabertos.camara.leg.br/api/v2/deputados/141390,ANTÔNIO ROBERTO,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,54,https://www.camara.leg.br/internet/deputado/bandep/141390.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MG,52,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PL*,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MG,52,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MG,52,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MG,53,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74648,https://dadosabertos.camara.leg.br/api/v2/deputados/74648,ARACELY DE PAULA,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,MG,54,https://www.camara.leg.br/internet/deputado/bandep/74648.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,52,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,S.PART.,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,52,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,52,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
74103,https://dadosabertos.camara.leg.br/api/v2/deputados/74103,ARIOSTO HOLANDA,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74103.jpg,
73433,https://dadosabertos.camara.leg.br/api/v2/deputados/73433,ARLINDO CHINAGLIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,52,https://www.camara.leg.br/internet/deputado/bandep/73433.jpg,
